ID,Brand,Name,Category,Price,Skin_Type,Ingredients ,Rating
1,Fenty Beauty,Pro Filt'r Foundation Soft Matte,Foundation,35,oily;combination,water;dimenthicone;mica,4.8
2,The Ordinary,Niacinamide 10% + Zinc 1%,Serum,6.5,all;acne-prone,niacinamide;zinc PCA,4.6
3,CeraVe,Hydrating Cleanser,Cleanser,9.99,dry;sensitive,ceramides;hyaluronic acid,4.5
4,La Roche-Posay,Effaclar Duo+ ,Moisturiser,16,oily;acne-prone,niacinamide;salicylic acid,4.4
5,Glossier,Priming Moisturiser Balance,Moisturiser,23,normal;combination,willow bark;niacinamide,4.3
6,Clean & Clear,Oil-Free Acne Wash,Cleanser,5.99,oily;acne-prone,salicylic acid;glycerin,3.9
7,Drunk Elephant,B-Hydra Intensive Hydration Serum,Serum,42,dry;normal,pro-vitamin B5;pineapple ceramide,4.7
8,Neutrogena ,Hydro Boost Gel Cream,Moisturiser,14.5,dry;sensitive,hyaluronic acid; glycerin,4.6
9,The Inkey List,Salicylic Acid Cleanser ,Cleanser,10,oily;acne-prone,salicylic acid;zinc,4.2
10,Paula's Choice,2% BHA Liquid Exfoliant,Exfoliant,28,combination;acne-prone,salicylic acid;green tea,4.8
11,Burt's Bees,Moisturising Lip Balm,Lip Care,3.99,all,beeswax;vitamin E;peppermint oil,4.5
12,MAC,Ruby Woo Lipstick,Makeup,19.99,all,parafin wax;castor oil,4.7
13,NARS,Orgasm Blush,Makeup,30,all,mica;synthetic pigments,4.8
14,NYX,Epic Ink Liner,Makeup,9.99,all,water;alcohol;acrylic resin,4.3
15,Laniege,Lip Sleeping Mask,Lip Care,19.99,all,berry extracts;hyaluronic acid;vitamin C,4.7
