Brand,Product,Price,Description,Score
deciem,Serum Foundation,6.7,Serum Foundations are lightweight medium-coverage formulations available in a comprehensive shade range across 21 shades.,2
,Saint Cosmetics Blush,28.96,Create naturally flushed looking cheeks with Saint Cosmetics' blush formulations.,2
pacifica,Pacifica Natural Eye Pencil,16.0,"Pacifica Natural Eye Pencil is a waterproof, buttery smooth eye pencil that glides on easily to avoid pulling on the delicate eye area.",2
suncoat,Suncoat Sugar-Based Mascara,16.49,This sugar-based natural mascara is another unique product from Suncoat.,2
,Saint Cosmetics Blush,28.96,Create naturally flushed looking cheeks with Saint Cosmetics' blush formulations.,2
suncoat,Suncoat Sugar-Based Mascara,16.49,This sugar-based natural mascara is another unique product from Suncoat.,2
,Saint Cosmetics Bronzer,30.96,"Saint Cosmetics' velvety smooth bronzing formulation gives the skin a soft, healthy and naturally radiant skin.",2
physicians formula,Physicians Formula Super BB InstaReady Filter BB Bronzer,19.99,"Featuring InstaFilter Technology, a proprietary blend of mattifying and pore balancing spherical beads, color filter pigments and high-tech polymers that work together to instantly optimize light reflection, blur imperfections and visibly retexturize skin.",5
dr. hauschka,Dr. Hauschka Rouge Powder ,31.0,"Dr. Hauschka Rouge Powder is made with real silk, rose blossoms and jojoba oil to nurture the skin while contouring and adding a healthy hue to the cheeks.",14
dr. hauschka,Dr. Hauschka Limited Edition Lipstick Novum,27.0,"This Dr. Hauschka Lipstick leaves the lips feeling soft and silky thanks to its composition of premium argan oil and beeswax, as well as mineral pigments and medicinal plant extracts.",14
rejuva minerals,Pressed Powder Foundation,0.0,Coconut Cream - Warm Undertones (yellow) Light Shade.,13
sante,Sante Eyeshadow Trio,24.49,"Sante Eyeshadow Trios each have three complementary shades for your lid, crease and highlight.",10
deciem,Serum Foundation,6.7,Serum Foundations are lightweight medium-coverage formulations available in a comprehensive shade range across 21 shades.,6
deciem,Serum Foundation,6.7,Serum Foundations are lightweight medium-coverage formulations available in a comprehensive shade range across 21 shades.,42
rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,Our Multi Purpose Pressed Powders may be used for blush or eye shadow.,41
rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,Our Multi Purpose Pressed Powders may be used for blush or eye shadow.,41
coastal classic creation,Conch Lipstick,0.0,"Coastal Classic Creations Conch Lipstick is a flattering, stylish, rich winterberry color.",41
c'est moi,Muse Mascara,0.0,"Define, lengthen and nourish lashes with organic shea butter, grapeseed and jojoba oils.",41
c'est moi,Fearless Eyeliner,0.0,Make eyes pop with this velvety smooth eyeliner that glides on effortlessly and precisely.,41
physicians formula,Physicians Formula Super BB InstaReady Filter BB Bronzer,19.99,"Featuring InstaFilter Technology, a proprietary blend of mattifying and pore balancing spherical beads, color filter pigments and high-tech polymers that work together to instantly optimize light reflection, blur imperfections and visibly retexturize skin.",41
,Saint Cosmetics Bronzer,30.96,"Saint Cosmetics' velvety smooth bronzing formulation gives the skin a soft, healthy and naturally radiant skin.",6
mineral fusion,Mineral Fusion Sheer Moisture Lip Tint,12.0,"Mineral Fusion Sheer Moisture Lip Tint is a sheer, buildable mineral colour that provides long-lasting hydration and applies effortlessly on-the-go with no mirror required.",6
